CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
3,1.5714285714285714,2.0,3.0,1.0,1.0,1.0,0.0,0,1.1428571428571428,2.0,3.0,1.0,1.0,1.0,0.0,6.0,9.0,14.0,-4.0,1.0,1.0
29,9.285714285714286,19.0,8.0,4.0,3.0,0.0,2.0,0,5.142857142857143,19.0,8.0,4.0,3.0,0.0,2.0,6.0,29.0,2.0,-7.0,-3.0,2.0
96,23.142857142857142,31.0,11.0,16.0,5.0,2.0,1.0,0,9.428571428571429,31.0,11.0,16.0,5.0,2.0,1.0,2.0,31.0,3.0,-11.0,-7.0,4.0
137,36.714285714285715,62.0,24.0,24.0,6.0,1.0,3.0,0,17.142857142857142,62.0,24.0,24.0,6.0,1.0,3.0,-19.0,20.0,-4.0,-20.0,-18.0,8.0
80,23.428571428571427,40.0,24.0,10.0,6.0,3.0,1.0,0,12.0,40.0,24.0,10.0,6.0,3.0,1.0,2.0,31.0,12.0,-14.0,-5.0,4.0
13,3.4285714285714284,3.0,2.0,3.0,1.0,1.0,1.0,0,1.5714285714285714,3.0,2.0,3.0,1.0,1.0,1.0,3.0,24.0,1.0,-9.0,-3.0,3.0
79,20.285714285714285,29.0,19.0,8.0,4.0,3.0,0.0,0,9.0,29.0,19.0,8.0,4.0,3.0,0.0,-1.0,28.0,7.0,-13.0,-6.0,4.0
166,46.714285714285715,96.0,31.0,11.0,16.0,5.0,2.0,0,23.0,96.0,31.0,11.0,16.0,5.0,2.0,-5.0,32.0,20.0,-15.0,-11.0,6.0
182,62.285714285714285,137.0,62.0,24.0,24.0,6.0,1.0,0,36.285714285714285,137.0,62.0,24.0,24.0,6.0,1.0,-30.0,12.0,-18.0,-30.0,-26.0,10.0
166,47.0,80.0,40.0,24.0,10.0,6.0,3.0,0,23.285714285714285,80.0,40.0,24.0,10.0,6.0,3.0,-2.0,36.0,30.0,-18.0,-8.0,6.0
26,7.0,13.0,3.0,2.0,3.0,1.0,1.0,0,3.2857142857142856,13.0,3.0,2.0,3.0,1.0,1.0,-4.0,24.0,11.0,-16.0,-9.0,6.0
86,32.57142857142857,79.0,29.0,19.0,8.0,4.0,3.0,0,20.285714285714285,79.0,29.0,19.0,8.0,4.0,3.0,1.0,22.0,21.0,-4.0,-2.0,3.0
