dropout,base_lr,max_epoch,weight_decay,train_loss,test_loss
0.1,0.001,10000,0.0005,0.04476863,0.079751335
0.1,0.001,10000,0.001,0.05053327,0.079127304
0.1,0.001,10000,0.005,0.06499974,0.07825568
0.1,0.001,10000,0.01,0.07371846,0.08341059
0.1,0.001,10000,0.05,0.09202442,0.07948965
0.1,0.01,1000,0.0005,0.05801834,0.081944175
0.1,0.01,1000,0.001,0.059843805,0.078212515
0.1,0.01,1000,0.005,0.07299397,0.08275824
0.1,0.01,1000,0.01,0.07991249,0.080691874
0.1,0.01,1000,0.05,0.094397366,0.07917073
0.1,0.01,10000,0.0005,0.052950185,0.06394907
0.1,0.01,10000,0.001,0.058448393,0.08471843
0.1,0.01,10000,0.005,0.07097768,0.08246235
0.1,0.01,10000,0.01,0.08108065,0.08301326
0.1,0.01,10000,0.05,0.09394205,0.07800629
0.5,1e-05,1000,0.0005,0.40327224,0.1529615
0.5,1e-05,1000,0.001,0.4334599,0.1614465
0.5,1e-05,1000,0.005,0.32220194,0.14022402
0.5,1e-05,1000,0.01,0.4237038,0.19335468
0.5,1e-05,1000,0.05,0.36728993,0.15203902
0.5,1e-05,10000,0.0005,0.15423374,0.09786061
0.5,1e-05,10000,0.001,0.16712756,0.113525726
0.5,1e-05,10000,0.005,0.13957793,0.11070317
0.5,1e-05,10000,0.01,0.16515894,0.12725942
0.5,1e-05,10000,0.05,0.1526668,0.110840976
0.5,0.0001,1000,0.0005,0.16815524,0.1315742
0.5,0.0001,1000,0.001,0.16846566,0.116466165
0.5,0.0001,1000,0.005,0.15915442,0.11898208
0.5,0.0001,1000,0.01,0.17130147,0.116552286
0.5,0.0001,1000,0.05,0.1632394,0.10868981
0.5,0.0001,10000,0.0005,0.08723617,0.07611323
0.5,0.0001,10000,0.001,0.08607075,0.07702673
0.5,0.0001,10000,0.005,0.08884745,0.076978356
0.5,0.0001,10000,0.01,0.093467735,0.07622858
0.5,0.0001,10000,0.05,0.09518981,0.07808938
0.5,0.001,1000,0.0005,0.09335808,0.075849175
0.5,0.001,1000,0.001,0.09352996,0.07637537
0.5,0.001,1000,0.005,0.09603087,0.07556897
0.5,0.001,1000,0.01,0.09917909,0.07548058
0.5,0.001,1000,0.05,0.09577162,0.07860878
0.5,0.001,10000,0.0005,0.07654653,0.07276085
0.5,0.001,10000,0.001,0.07693961,0.07535552
0.5,0.001,10000,0.005,0.08504402,0.07555481
0.5,0.001,10000,0.01,0.089647174,0.07789285
0.5,0.001,10000,0.05,0.097560726,0.078660816
0.5,0.01,1000,0.0005,0.09396789,0.07779093
0.5,0.01,1000,0.001,0.08935825,0.07540902
0.5,0.01,1000,0.005,0.098322,0.0811404
0.5,0.01,1000,0.01,0.09972962,0.07540379
0.5,0.01,1000,0.05,0.102350205,0.08291528
0.5,0.01,10000,0.0005,0.08720118,0.07977185
0.5,0.01,10000,0.001,0.08976271,0.07942181
0.5,0.01,10000,0.005,0.09723515,0.08188247
0.5,0.01,10000,0.01,0.09845847,0.07689676
0.5,0.01,10000,0.05,0.09881792,0.08027262
