i,S,I,R,rt
3.9135395826564414,57113.75461248152,19.725188557369098,42866.52019896116,1.3
3.661383631589148,57110.09322884993,18.455275049615974,42871.451496100504,1.3
3.425443055604818,57106.66778579433,17.2668993428168,42876.065314862906,1.3
3.2046790244982155,57103.46310676983,16.154853531610815,42880.38203969861,1.3
2.9981187685722275,57100.46498800126,15.114258917280338,42884.42075308152,1.3
2.8048514394086936,57097.66013656185,14.140545627368947,42888.19931781084,1.3
2.624024222225438,57095.03611233962,13.229433442752146,42891.73445421768,1.3
2.4548386855191136,57092.581273654105,12.376913767583224,42895.04181257837,1.3
2.2965473543764494,57090.28472629973,11.579232680063866,42898.13604102026,1.3
2.1484504945049925,57088.13627580523,10.832875004552891,42901.030849190276,1.3
2.009893094685709,57086.12638271054,10.134549348100379,42903.73906794142,1.3
1.8802620359817936,57084.246120674565,9.481174047057078,42906.27270527844,1.3
1.7589834366492645,57082.48713723791,8.869863971942074,42908.6429987902,1.3
1.6455201622841586,57080.84161707563,8.297918141240714,42910.86046478319,1.3
1.5393694913077645,57079.302247584325,7.762808097238301,42912.9349443185,1.3
1.440060926434845,57077.86218665789,7.26216699936357,42914.87564634281,1.3
1.3471541432900482,57076.5150325146,6.793779392812725,42916.69118809265,1.3
1.260237067834756,57075.25479544677,6.355571612444301,42918.38963294085,1.3
1.1789240747406426,57074.07587137203,5.945602784073868,42919.978525843966,1.3
1.1028542992976362,57072.97301707273,5.562056387353037,42921.464926539986,1.3
1.03169005587322,57071.94132701685,5.203232346387997,42922.85544063683,1.3
0.9651153563476489,57070.976211660505,4.867539616138647,42924.156248723426,1.3
0.9028345223363824,57070.07337713817,4.5534892344403675,42925.37313362746,1.3
0.8445708853774417,57069.228806252795,4.2596878112077174,42926.51150593607,1.3
0.790065569608313,57068.43874068319,3.984831428014101,42927.57642788887,1.3
0.7390763517851086,57067.699664331405,3.7276999227956846,42928.57263574587,1.3
0.6913765938067804,57067.0082877376,3.487151535903544,42929.50456072657,1.3
0.6467542432000145,57066.3615334944,3.262117895127673,42930.376348610545,1.3
0.605010897296772,57065.7565225971,3.0515993186425265,42931.191878084326,1.3
0.5659609270970772,57065.19056167,2.854660416078972,42931.95477791399,1.3
0.5294306570553088,57064.661131012945,2.670425969114538,42932.66844301801,1.3
0.4952575972596783,57064.16587341569,2.4980770740955816,42933.33604951029,1.3
0.4632897246924934,57063.702583690996,2.3368475302641794,42933.96056877881,1.3
0.433384810463891,57063.26919888053,2.1860204581620253,42934.54478066138,1.3
0.4054097901046694,57062.86378909043,2.0449251337261884,42935.091285775925,1.3
0.3792401741852913,57062.48454891624,1.9129340244799327,42935.60251705936,1.3
0.35475949669869256,57062.12978941954,1.789460015058642,42936.080750565474,1.3
0.3318587988048218,57061.797930620734,1.6739538100988032,42936.528115569236,1.3
0.3104361456854144,57061.48749447505,1.5659015032595167,42936.94660402176,1.3
0.29039617439892346,57061.19709830065,1.4648223018435609,42937.338079397574,1.3
0.2716496707583161,57060.92544862989,1.3702663971409867,42937.704284973035,1.3
0.2541131733790797,57060.67133545651,1.2818129712348199,42938.04685157232,1.3
0.23770860316175382,57060.433626853344,1.1990683315878687,42938.367304815125,1.3
0.22236291658305196,57060.21126393676,1.1216641652739536,42938.667071898024,1.3
0.208007781272587,57060.00325615549,1.0492559052280521,42938.947487939346,1.3
0.19457927244877235,57059.80867688304,0.9815212013698114,42939.209801915655,1.3
0.18201758887801392,57059.62665929416,0.9181584899053725,42939.455182216,1.3
0.17026678710620105,57059.456392507054,0.8588856545352306,42939.68472183848,1.3
0.15927453279108433,57059.29711797426,0.8034387736925073,42939.899443252114,1.3
0.14899186803872036,57059.14812610622,0.7515709483081008,42940.10030294554,1.3
0.13937299371706766,57059.0087531125,0.7030512049481432,42940.28819568262,1.3
0.1303750657853228,57058.87837804672,0.6576634694964302,42940.46395848385,1.3
0.12195800473896343,57058.75642004198,0.6152056068612861,42940.628374351225,1.3
0.11408431732796226,57058.64233572465,0.5754885224739268,42940.78217575294,1.3
0.1067189297595019,57058.53561679489,0.538335321614947,42940.92604788356,1.3
0.09982903164697185,57058.43578776324,0.5035805228581821,42941.06063171396,1.3
0.09338393001428344,57058.34240383323,0.4710693221579201,42941.18652684468,1.3
0.08735491270879174,57058.255048920524,0.44065690432723176,42941.30429417522,1.3
0.08171512061755562,57058.1733337999,0.4122077988629795,42941.414458401305,1.3
0.07643942812047104,57058.09689437178,0.38559527726770565,42941.51751035102,1.3
0.07150433125014694,57058.02539004053,0.3607007892009262,42941.61390917034,1.3
0.06688784306241084,57057.95850219747,0.3374134349631055,42941.70408436764,1.3
0.06256939575317853,57057.895932801715,0.31562947197550767,42941.788437726376,1.3
