ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00778,41980,GURABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,COTO LAUREL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,COMERIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,COROZAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,GUAYAMA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00785,25020,GUAYAMA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,LA PLATA,PR,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,HUMACAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00792,41980,HUMACAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,BARRANQUITAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,JUANA DIAZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00801,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00803,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00804,99999,ST THOMAS,VI,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,CHRISTIANSTED,VI,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,ST JOHN,VI,1.000000000,1.000000000,1.000000000,1.000000000
00831,99999,ST JOHN,VI,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,FREDERIKSTED,VI,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,KINGSHILL,VI,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00908,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00910,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00911,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00912,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00913,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00914,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00915,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00916,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00917,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00918,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00919,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00920,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00921,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00922,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00923,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00924,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00925,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00926,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00927,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00928,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00929,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00931,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00934,41980,FORT BUCHANAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00935,41980,SAN JUAN,PR,0.000000000,1.000000000,0.000000000,1.000000000
00936,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00937,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00940,41980,SAN JUAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00949,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00950,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00951,41980,TOA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00952,41980,SABANA SECA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00953,41980,TOA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00954,41980,TOA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00956,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00957,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00958,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00959,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00960,41980,BAYAMON,PR,1.000000000,1.000000000,1.000000000,1.000000000
